ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
40	Bob	9	8	8	8	9	9	100	1	1	2	MacMini1.local	2017-09-21_16.01.19.887473
40	Bob	2	1	1	3	2	2	0	2	1	2	MacMini1.local	2017-09-21_16.01.19.887473
