ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
12	Bob	1	1	2	1	1	1	0	1	2	1	MacMini4.local	2017-09-12_17.27.20.028635
12	Bob	8	8	9	9	9	9	90	2	2	1	MacMini4.local	2017-09-12_17.27.20.028635
