ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
26	Bob	2	2	1	1	2	1	30	1	2	1	MacMini4.local	2017-09-14_17.23.31.777410
26	Bob	4	3	2	3	2	2	40	2	2	1	MacMini4.local	2017-09-14_17.23.31.777410
