ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
13	Bob	1	1	1	1	1	1	0	1	2	2	MacMini1.local	2017-09-12_18.00.14.796525
13	Bob	9	9	9	9	9	9	90	2	2	2	MacMini1.local	2017-09-12_18.00.14.796525
