ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
25	Bob	1	2	1	1	1	2	17	1	2	1	MacMini2.local	2017-09-14_16.02.26.092494
25	Bob	9	7	8	9	9	9	82	2	2	1	MacMini2.local	2017-09-14_16.02.26.092494
