ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
7	Bob	9	9	9	8	9	9	90	1	1	2	MacMini1.local	2017-09-12_14.43.33.436104
7	Bob	1	2	1	2	1	1	5	2	1	2	MacMini1.local	2017-09-12_14.43.33.436104
