ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
24	Bob	9	8	8	8	8	8	80	1	1	2	MacMini1.local	2017-09-14_17.05.13.111687
24	Bob	2	2	2	2	2	2	20	2	1	2	MacMini1.local	2017-09-14_17.05.13.111687
