ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
50	Bob	9	9	9	6	9	9	100	1	1	1	MacMini3.local	2017-09-25_10.18.52.514293
50	Bob	1	1	1	1	1	1	0	2	1	1	MacMini3.local	2017-09-25_10.18.52.514293
