ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
16	Bob	1	1	1	1	1	1	10	1	2	2	MacMini4.local	2017-09-14_14.22.34.621822
16	Bob	7	5	8	5	9	9	70	2	2	2	MacMini4.local	2017-09-14_14.22.34.621822
