ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
28	Bob	1	1	1	1	1	1	0	1	2	1	MacMini2.local	2017-09-14_16.54.33.410189
28	Bob	9	9	9	9	9	9	100	2	2	1	MacMini2.local	2017-09-14_16.54.33.410189
