ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
17	Bob	9	9	9	9	9	9	95	1	1	1	MacMini1.local	2017-09-14_14.55.23.100847
17	Bob	1	1	1	1	1	1	0	2	1	1	MacMini1.local	2017-09-14_14.55.23.100847
