ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
6	Bob	9	9	9	9	9	9	100	1	1	2	MacMini4.local	2017-09-12_14.10.51.885195
6	Bob	1	1	1	1	1	1	0	2	1	2	MacMini4.local	2017-09-12_14.10.51.885195
