ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
55	Bob	9	9	7	9	9	9	90	1	1	2	MacMini2.local	2017-09-25_11.00.48.371864
55	Bob	1	1	1	1	1	1	0	2	1	2	MacMini2.local	2017-09-25_11.00.48.371864
