ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
18	Bob	9	9	9	9	9	9	100	1	1	1	MacMini2.local	2017-09-14_14.00.44.243351
18	Bob	1	1	1	1	1	1	0	2	1	1	MacMini2.local	2017-09-14_14.00.44.243351
