ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
29	Bob	1	1	1	1	1	1	0	1	2	2	MacMini1.local	2017-09-14_18.02.29.563310
29	Bob	9	9	9	9	9	9	100	2	2	2	MacMini1.local	2017-09-14_18.02.29.563310
