ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
38	Bob	9	9	9	9	9	9	90	1	1	2	MacMini3.local	2017-09-21_15.21.46.136054
38	Bob	1	1	1	1	1	1	10	2	1	2	MacMini3.local	2017-09-21_15.21.46.136054
