ParticipantNumber	Name	Eval1	Eval2	Eval3	Eval4	Eval5	Eval6	Eval7	Block	ValenceBlock	MeasureOrder	computerName	timeStamp
58	Bob	2	2	2	2	1	3	10	1	2	1	MacMini1.local	2017-09-25_13.03.47.023636
58	Bob	8	8	8	8	9	9	90	2	2	1	MacMini1.local	2017-09-25_13.03.47.023636
